page,col,seq,彝文,IPA,直译,意译
595,L,2,金 田 配,ni2l n055 A33 g021 mp 21,阿 郭 牛 不 要,牛 阿 郭 不 要
595,L,3,效 金,tsj33 fi33 A21 1206 bi21,皮 分 郭 给 阿,分 皮 给 阿 郭
595,L,4,效 金 分,A33 90² 21 10.5s ZD 33 ZD21,阿 郭 绵羊 牧 儿,阿 郭 牧 绵 羊
595,L,5,至 分,th21 21 4e33 pu33 10.5 ZD,山 方 绵羊 牧 儿,山 坡 牧 绵 羊
595,R,1,效 金,33 A33 pu 9021 b121,绵羊 分 阿 郭 给,分 绵 羊 给 他
595,R,2,2 效 金,"fi33 A33 1,ss b121",山羊 分 阿 郭 给,分 山 羊 给 他
596,L,1,效 金,ve31 fi33 A33 106 br21,猪 分 阿 郭 给,分 猪 给 阿 郭
596,L,2,开 2,"si33 21 1,33 3G nu33 go$s",死 贵 你 来 值,你 死 你 值 当
596,L,3,你 死 你 值 当,zi33 nu33 nu 33,你 死 你 值 呢,你 死 你 遂 愿
596,R,1,Z Z to 日,si33 nu33 he33 1033,死 主 你 房 处,亡 者 阳 世 家
596,R,2,分 日 W # 永1,YD 1033 tsi33 1044 do21,后 处 衙 丢 掉,丢 身 后 城 衙
596,R,3,W w 全 7.0,tsi33 ci31 33 Z133 tshi21 SD,衙 府 找 去 吧,去 找 新 府 衙
596,R,4,分 日 GZ,phu33 YD 33 1033 1044 do21,后 处 村 丢 掉,后村 丢 掉 身
597,L,1,日 w 全,ci31 33 yu² 1033 phu33 as,前 处 村 新 找,阴 间 找 新 村
597,L,2,分 Z日,1o3 t tche441 1044 do21,后 处 寨 丢 掉,丢掉 身 后 寨
597,L,3,W 全,tche44 SD 33 tshi21 lely,寨 新 找 去 吧,去找 寨 新 吧
597,R,1,分 日 to Z,yD 33 1033 he33 1044 do21,后 处 一房 丢 掉,丢 掉 身 后 房 一
597,R,2,to w,"he33 ci21 SD 33 z,i33 tshi21",房 新 找 去 吧,去 找 新 房 吧
597,R,3,分 日 介 GZ,mx 21 1033 m133 10 4 do21,后 处 地 丢 掉,丢 掉 身 后 地
598,L,1,w 全,ci31 m1 33 as 33 120b 2j33,地 新 找 耕 去,去 找 新 地 耕
598,L,2,分 7水 日,yD 33 1033 dz121 1044 do21,后 处 畜 丢 掉,丢掉 身 后 畜
598,L,3,日 w 全,1033 dz121 ci31 33 remx SD,前 处 畜 新 找,阴 间 找 新 畜
598,L,4,分 7水 日 特,yD 33 1033 kD33 1044 do21,后 处 路 丢 掉,丢掉 身后 路
598,R,1,日 w,ci31 33 yur² 1033 kD33 SD,前 处 路 新 找,阴 间 找 新 路
598,R,2,分 日 GZ 7水,33 1033 tsp33 1044 do21 YD3,后 处 饭 丢 掉,丢 掉 身 后 饭
599,R,1,见 w 分 7=三,Ci144 qhu21 du21 ZD21,德 希 儿 湖 岸,德 希 湖 岸 儿
599,R,2,万 日 生 与,"kh,33 te33 reP 1033 SD",那 里 找 着 得,那 里 找 得到
600,L,1,7儿 分 7儿L,33 q121 121b yD kD33,家 离 与 庭 离,与 家 庭 离 别
600,L,2,20 特 7儿L 田 口,q121 kD33 mp2 lu33,家 庭 离 不 愿,家 庭 不 愿
600,L,3,7儿L 田 D 田斋,mo² kp21 lu33,离 效 不 愿 不,不 愿 离 无 济
600,L,4,WI 用 3=,tsho33mu² th121,人做 一 辈 辈,人 生 一 辈 子
600,L,5,企 3=,zi33 zi33 m13 ne 44 mx 21,地 黑 永 世 世,大 地 存 永 远
600,R,1,nI Z卅 目 国,th12i siss t$033 t5i33 De's,一 辈 在 真 是,可 活 一 辈 子
600,R,2,田,tsi33 zi33 13033 mp 21,永 世 在 不 真,不 可 活 永 世
600,R,3,# 子 国,tsiss dlp33 mu²l tsu 33 e,侧 斜 露 成 天,露 生 黄 昏 时
600,R,4,系,dlp33 44 thp21 n133 ze pu33,霜 成 鸡 鸣 时,霜 降 鸡 鸣 更
600,R,5,A 7:,21 tD21 tsh;33,自 己 我 时 到,物 皆 从 已 时
601,L,1,田 不子,mp21 dzi²l1 mu²1 m133 h121,不 幸 天 地 挑,不 挑 幸 天 地
601,L,2,子介,m33 h33 hr²1 1303,天 地 来 挑 在,被 天 地 挑 上
601,L,3,开,kho21 G133 123G ID33,柯 兴 诗 安 啊,柯 兴 诗 安 啊图
601,L,4,金 飞雨 苗,ni44 tch33 thD21 55 nu33 $D,你 心 它莫 伤,你莫要伤 心
601,R,1,2 X 田路,"1,55 bu' nu33 tsiss mp",你 只 独 不 有,非 你 独 如 此
601,R,2,π 九 目,si33 dzi21 Z04 ng33 tS033,官 生 也 死 在,官 者 照 例 死
601,R,3,思 苗 田斋,mp²l khD21 $DS ne33 $DSS,不效 伤 也 伤,伤 心 不济
605,L,1,wt WI,luus he33 1i3 vi33 th21,吉屋来家 一,有 一户人 家
605,L,2,Z4,t4u44 mu? si33 tch133 53,木斯 浸额,木斯 斤浸 额?
605,L,3,W,qo3 phu33 tc1s tsi33 lu*s,房院寨 帮 喜,盖房靠村帮③
605,R,1,4生,t4u4 noss t84 the44,人 找 活迭 上,添 丁 绊活 计
605,R,2,每又,tsi33 1i33 tpss V133 mu33,房来 做搁 拿,建起 了家 庭
605,R,3,住,si33 tsi33 tsi33 lu²1 1i33,主 家 鲁来 家,家庭靠鲁建
606,L,1,A 7科,4u133 de21 lu33 bu33 hyss,银 打 墙 壁 立,银 铸 墙 壁 高
606,L,2,3 全,si33 de21 lu33 9033 as 33,金 打 墙 内 找,金 饰 堂 房 室
606,L,3,住 2,tsi33 bu33 lu21 133 hy31,屋 顶 鲁 来 立,屋 脊 鲁 守 护
606,L,4,住 7:,lu21 133 tsi33 1$03,屋 尾 鲁 来 转,房院鲁 巡 游
606,R,1,w 女,Zzi33 lurss 055 33 kur's np,吉 喜 头 听 会,家 人 聪 而 明
606,R,2,W 面,SD33 luur's pD21 mp 33 qD 33,福 喜 父 母 玩,父 对 母 乐 而
606,R,3,又 Z 面 每 住,ms mu 33 tsi33 tDss 3,夜 的 接 近 拿,夜 间 相 婚 配
606,R,4,3 光,33 44 bo33 ob 33 ty21 ZO,生 有 金 中 结,怀 孕 金 身 中⑧
606,R,5,Z 住 A 住,si33 1h21 tsi33 lu²1 tsi33,主 房 鲁 来 房,建 屋鲁来 建
607,L,1,Z 3,si33 lu²1 133 te33 t@33,主 立 鲁 来 立,立 家 鲁 来 立
607,L,2,A,lu²1 l33 dz121 tc1s tc1ss,畜 牧 鲁 来 牧,畜 牧 鲁 来 护
607,L,3,π,tsp33 pD 21 dzi21 li33 pD n21,粮 保 神 来 保,稼 鲁 来 佑
607,L,4,W 光,php21 li44 SD33 lur's,福 喜帕 缠 身,病缠帕躯 体
607,R,1,每 住 又 Z,33 33 tsi33 VI33 ms mu tDS,夜 的 遇 搁 拿,夜 间 患 顽 疾
607,R,2,田 与,phu33 mp d31 1D33,祖 不 行 的 死,不 敌 而 亡 逝
607,R,3,Z4 目 级 π 九,"nu 33 t$o33 tce"" dzi21 ne33",你 生 汗 冒 也,你 生 颜 冒 汗
607,R,4,Z4 级 田,si33 eenu tce'ss mp dzi21,你 死 汗 不 冒,你 死 汗孔闭
608,L,1,目 π 九,lu²1 dzi21 ne 33 t$033,你 生 鲁 管 也,你 生 鲁 护 佑
608,L,2,Z出 子 田,si33 nu33 lu21 mp2l,你 死 鲁 不 死,你 亡 鲁 不 亡
608,L,3,小 分,du21 XD 33 np 55 tsess m133,处 阴 间 接 阳,阴 阳 两 界 连
608,L,4,子 Z 孔,si33 si33 b121 Ze31 mb,死 主 下 给 完,阴 物 降 亡 者
608,L,5,级 分,tho31 du21 lu21 331 55 yD,后 跟 鲁 汗 得,阴 汗 与 阴 鲁
608,R,1,子 级 分,si33 33 siss tce 55 yD,死 汗 与 死 碗,阴 汗 与 器 血
608,R,2,分 去,khp33 si5s lu21 XD 33 ne 33,那 鲁 与 饮 碗,阴 间 盛 汤 碗
608,R,3,分,khD33 yD 33 ZO 33 si55,那 与 绵羊 碗 牛,绵 羊 牛 肉 碗
608,R,4,分 正,33 khD33 lu21 yD tch33 si5s,那 鲁 与 米 碗,阴 间 盛 饭 碗
609,L,1,Z4 与 九,1h33 kD33 reP no33,你 来 过 行 也,你 从 线 路 去
609,L,2,又 分 了 3,33 tche33 tDss yD te33,搁 处 诗羌,留 守 诗羌
609,R,1,年 与 九,li33 kD33 d131 ne33 Enu,你 来 过 行 也,你 可 前 行 去
609,R,2,年 田 与,fi33 1i33 kD33 mD21 IeP,强 体 来过 不 行,强 体 不 前 去
609,R,3,Z 分 又 m,niss 33 tDss 1D3s dzu YD,前 处 搁 置 吧,储 置 阳 界 家
609,R,4,W tQ 子 飞,lur's hae33 33 V33 m6,勒 罕 诗 娓 格,勒 罕 诗 尾 格
610,L,1,Z: 3 3,si33 si33 lu21 133 si33,神 守 鲁 来 守,鲁 神 在 守 护
610,L,2,A 田 分,lu²1 li33 kp33 mp 21 yD 33,鲁 来 过 不 处,鲁 神 不 前 往
610,R,1,分 又 米 m,33 dz yD tDss 1D5s DiS,前 处 搁 置 吧,留 守 阳 间 屋
610,R,2,目 不,niss do44 niss t$033 Z.133,前 出 前 处 去,界 离 了 阳 间
610,R,3,零列两3,tsh033qhu²thu21thu21,阴 人声 曬,阴 月间声
611,L,1,口 3=,55 tsh;21 lu33 tsx 44 np tsy44,阴 狗 吠 汪 汪,阴 狗 汪 汪 吠
611,L,2,特 分 九,nu33 1i33 kD33 ax 33 ne33,你 来 过 处 也,你 声 前 去 寻
611,R,1,分 m nI 丑,21 4iss th21 2i33 ZD,儿 孙 一 吉 祥,儿 孙 得 吉 顺
611,R,2,儿 孙 得 吉 顺,1o21 mp 33 bu²1 be33,托 罗 茅 竹 根,托 罗 茅 竹 根
611,R,3,W 分 O 田,tsi33 33 4D33 mp 21 yD,阳 与 月 不 失,日 月 不 失 明
611,R,4,介 R W,ze 44 dp21 tsiss tsiss,地 鸡 地 露 喝,鸡 饮 地 露 水
612,L,1,了 A,"tae33 4u33 pur33 tghe33 n,D 33",舒 伯 羌 扭,当 舒 羌 伯 扭
612,L,2,孔里3,tshi21 1i33 mdmd.a 33h21h21,冬 风 起 朴朴,寒 风 阵 阵 起
612,L,3,7科 田 #,si21 de21 lu²1 mp 21 ts133,颗 打 龙 不 剩,不 留 降 電 龙
612,L,4,米 田 又,1D55 dlu33 ve31 mp 21 tDss,浪 翻 猪 不 留,不 留 湖 浪 猪
612,R,1,,w tQ 3,luy's he33 小3,勒 罕 诗 娓 格
612,R,2,4,t4u44 me33 mp21 Ss,人 死 名 不 失,人 死 名 不 失
612,R,3,子 Z 田,si33 si33 lu²1 mp21 tsh;33,死 神 鲁 不 到,死 不 及 鲁 身
612,R,4,效 去 天,A21 siss phu21 Di33,从 前 祖 畜 日,过 去 祖 养 牛
612,R,5,3,1p21 n1ss mu33 tDss mzp,牛 神 做 搁 的,用来 做奠 牲
613,L,1,效 逛孕子,A21 siss phD²1 33 tc1 tsp,从 前 父 种 粮,过 去 父 种 粮
613,L,2,过 去 父 种 粮,"kD3 1p33 VE tsD""? 55 ab h33",筛 了 客 吃 面,用 来 做 丧 饭
613,L,3,Z4 分 九,h33 qD33 33 nu33 XD,你 来 如 得 也,你 若 得 此 居
613,R,1,分 又 m,"niss yD 33 tDss 1Dss dz,u",前 处 搁 置 吧,宅 返 居 阳 故
613,R,2,与,tsh33 ni21 dze4kD21 tsh;33,十 荒凉 到 二,十 二 荒 野 上
613,R,3,半 3=,lu21 si21 khD²1kD21 mu's,鲁 马 行 过隐,鲁 骑 马 背 驰
613,R,4,Z: 十妄 九,si21 si33 g0 44 tc8 55 ne 33,行 主 吓 染 也,受 声 惊 吓 怪
614,L,1,2 2,31 h33 h33 ob lu²1 9031,回 来 鲁 回 来,归 兮 鲁 归 来
614,L,2,级,133 1a33 q031 tess 1eOb,回 来 浆 回 来,归 兮 浆 归 来
614,R,1,Z4 2,133 fi33 1h33 9031,回 来 沸 回 来,归 兮 沸 归 来
614,R,2,子 九 与 百,mu21 ne 33 m1 33 ni21 ty4,天 与 地 二 层,天 与 地 之 间
614,R,3,田 Z 与 百,si33 si33 ni²1 mp 21 ty4,不 死 它 二 层,天 地 神 不 死
615,L,1,日 出办 公,niss 1033 nu33 fi33,前 处 你 属 沸,生 前 佑 你 沸
615,L,2,Z 日 去,niss 1033 nu33 zi33 ng33,前 处 你 柱 楠,生前你柱 楠
615,R,1,Z 又,"si33 si21 h44 1p33 tDss p""u",它 走 返 了 搁,招 呼 使 其 返
615,R,2,7办4 X3 每,thu44 thu44 me 33 1p33,繁 荣 讲 讲 做,言 封 得 繁 荣
615,R,3,WI 一X 女,th12i thu44 np33 133 qD 33,一 句 听 来 呀,语 务 必 听 赠
619,L,1,茶X3V,thussthuss tge33 zi31 dz133,繁 星说说故事,话题繁星般
619,L,2,话题繁星般,thuss dz133thu5s S121 ne33,说故事说 还 也,话语道不尽
619,L,3,话语道不尽,mp2l thuss pi44 ss!u np D21,说 毕摩 听 不 嘴,话停听毕念②
619,R,1,Dz,n1²1 mi33 A²1 dz.0²1 d33,彝 地 阿着底,彝居阿着底
619,R,2,日,A33 dze31 tsi33 dz133 1033,丧家院坝 处,丧家院落中
620,L,1,子,kh021 1021 $OS5 nu33,柯 罗 硕 诗 奴,柯 罗 硕 诗 奴
620,L,2,司 W 田 w,t$033 luss mp21 luss,生 喜 死 不 喜,愿 生 不 愿 死
620,L,3,Z4 田 WI 必,si33 thj21 enu mp21 g05,你 死 不 大 愿,你 不 情 愿 死
620,L,4,7开 & 九,"dz,i21 bi21 mb 33",超度 给 你 完 也,超 度 经 念 完
620,R,1,?,"tche33 m1²1 1044 Z.,133",佩 刀 石 上 磨,刀 子 石 上 磨
620,R,2,子 亏 面,tshi21 ms mu2l 121 ni33,尸 夜 天 今 天,今 日 守 灵 夜
620,R,3,4 3,le31 4u33 ku33 D'S,银 镯 金 戒 指,银 镯 金 戒 指
621,L,1,田 # 开#,mp 21 ts1s5 thi2i dz.i2i,不 剩 一 段 剩,尚 欠 仪 经 一
621,L,2,万 7开7 IM,"mo 21 suk""ur ti21 dz.j21",莫 舍 那 一 段,莫 舍 一 仪 经
621,L,3,每 Z,aG 33 mu 33 nu33 bi21 9033,我 做 你 给 啦,我 诵 经 与 你
621,L,4,ZX,le31 tche33 qe31 ni3 CeSs,手 赶 线 棉 交叉,如 同 手 裹 线
621,L,5,众 Z# G 不,dzi33 du²1 bo33 ZOSs S121,起 头 有 还 要,必 先理 头 绪
621,R,1,众 女,dzi33 du²1 mp21 bo33 2i33,起 头 不 有 呢,若 无 福 禄 源
621,R,2,九,nu33 dz121 tois ne 33,你 家 畜 牧 也,你家 养 畜 禽
622,L,1,4 住,nu3 V133 t4uss tsi33 ne33,你 家 人 遇 也,你 家 添 丁 口
622,L,2,A 住 田,tsi33 si21 dzi31 t4u44,人 遇 不 称,添 丁 不 称 意
622,L,3,Z出 7开 U,nu dzi21 mp² 21 Y031 tsh:33,你 附 母 身 到,你 至 生 下
622,L,4,分 7儿L 田,ssib dzj21,儿 离 真 哭 不,儿 哭 每 不 弃
622,L,5,女 Z N,44 niss tsh:33 ne !2 nD33,泪 水 鼻 嘴 到,泪 流鼻 嘴边
622,R,1,7070,tshi2l tchath3 bu21,自己 织 线 织 背,自 织 背 单 背
622,R,2,Z4 每 亏,nu 33 1e88 mu3 thi21 ni33,你 家 做 一 日,你 后 成 家 之
622,R,3,九,nu33 1e88 dz121 ne 33,你 家 畜 牧 也,你 家 的畜 禽
622,R,4,又 九,dz121 tD?s dz121 4021 ne33,畜养 畜 也 顺,畜禽满圈 拦
623,L,1,你 家 种 庄 稼,"tsh,33 tsp3 1o21 tsi33 toss",粮 满 楼 板 下,粮 满 漫 下 楼
623,L,2,4 住 九,nu 33 t4u44 tsi33 ne g33,你 家 也 人 遇,你 家 添 丁 口
623,L,3,Az 住 700 九 W,t4u33 si21 dzi31 tsi3 ne33,人 遇 也 齐,添 丁 口 如 意
623,R,1,分 70 3=,tsh:33 bu²1 bu²1 ZD21 0.55,儿 孝 头 蓬 蓬,孝 子 发 蓬 蓬
623,R,2,70 3=,nu33 tsh:33 be33 be33 SO,女 孝 头 乱 乱,孝 女 发 乱 乱
623,R,3,W 雪 3=,4iss 4e44 055 tce44 tce 44,孙 重孙 僵 头 僵,孝 孙 发 僵 僵
623,R,4,承他 效 D,tshi33 dz121 pD 55 buss A33,脚 伸 青 蛙 缩,脚 缩 似 青 蛙
623,R,5,开 住 众 日,si33 e 21 tsi31 1033,死 善 院 坝 处,故 （人屋 院 中
624,L,1,众 区 九,ZO d2133 Z.0SS ne 33 tD33,先 生 我 也 起,先 者 自 起 生
624,L,2,万 Wi 开,"cems kh133 thi21 dz,i21 mo21",莫 舍 那 一 章,莫 舍 一 章 经
624,L,3,每,A33 33 m33 mo21 ms,什 么 牲 做 收,什 么 作 祭 牲
624,L,4,田 亏,kD33 eend siss mp nj33,蚂 蚱 血 不 存,蚂 蚱 无 血 液
624,R,1,每,kD33 pu33 mo21 mu 33 ms 33,蚂 蚱 牲 做 收,蚂 蚱 作 祭 牲
624,R,2,湖 岸 无 鱼 游,A33 ku33 Ip21 mb 55 np 55,螺 蛳 蚌 壳 多,螺 蛳 蚌 壳 多
624,R,3,每,ID21 mb mo21 mu 33 ms 33,螺 蛳 牲 做 收,螺 蛳 作 祭 牲
625,L,1,子 又,A²nae nu33 tDSs,现 在 你 死 搁,现 在 你 亡 故
625,L,2,众,4033 nu²i d2133 1031 l;33,奠 牛 先 成 来,先 与 祭 奠 牛
625,L,3,A,1031 1i33 4u33 bi21 mzp,成 来 银 给 齐,银 两 购 而 得
625,L,4,日 WI 号,55 1033 tsh:33 thi21 ni33 aG,阴间 处 到 一 日,去 至 阴 间 时
625,L,5,用,"siss tsh.33 tSD"" cob h.31",草 喂 年 小 下,仔 喂 草 年 冏下
625,R,1,万 开 不,kh44 bi21 ne1 nu 33 2133,它 好 你 给 去,良 牛 给 与 你
625,R,2,2 分 WI,ZD21 li44 bu33 thi21,羊 赠 小 一 对,赠 对 小 山 羊
625,R,3,安 ?,1e4 ne 44 1044 mo21 V04,游 牲 走 黑 色,善 奔 黑 色 牲
625,R,4,Dz 住 每,44 ni²1 tsi33 ce t4D33 mu33,汉 旁 葬 宅 做,汉 家 傍 葬 宅
626,L,1,兴 O 晏,VD 4D33 m 44 mo21 py3,鸡 公 魂 叫 牲,公 鸡 招 魂 牲
626,L,2,7L3又,mo su3 t tshi3ltshi31 tDSs,全全 牲 收 搁,祭 牲 都 收 全
626,L,3,Z,a si33 mu? pu3 dlp33 33,驯 成 牵 成 做,用 何 有 何 物
626,L,4,效,V133 A33 1844 vae33,阿 勒 客 家 牲,阿 勒 待 客牲
626,R,1,效 % 7亩 晏,A33 1y44 lae33 ze 31 mo21,阿 勒 奠 吊 牲,阿 勒 奠 吊 牲
626,R,2,效 ?,A33 dze31 q044 10 4 mo21,丧 家 顶 牲,丧 家 盖 头 牲
626,R,3,O 3 每,4D33 n1ss mu 33 mo21,招 魂 驱 邪 牲,招 魂 驱 邪 牲
626,R,4,招 魂 驱 邪 牲,ow mzpemzp li33 1031,齐齐 牲 成 来,全 部 成 福 牲
626,R,5,罗3 又,ow cmzp emz tD$s 1i3,齐齐 牲 搁 来,全部 吉牲 成
627,L,1,又 九 U,1D1 tDss 1p21 ne33 4021,顺 牛 养 牛 也,养 牛 牛 兴 旺
627,L,2,700 飞E,33 si21 bD21 ne 4 pu,牛 黑 山 七 坡,黑 牛 满 七 坡
627,L,3,U,tchi3! tDSs tchi31 ne33 4021,山羊 养 山羊 也 顺,养羊 羊 兴 旺
627,L,4,天 ZZ,tohi31 ne4 pu 33 he31 dlD3,山羊 黑 山 八 面,羊 满 山 八 面
627,R,1,(王 A,2.033 4u33 pu33 kur's lo21,绵羊 白 山 九 凹,绵羊 九 山 凹
627,R,2,又 九 U,ve31 tDss ve31 ng33 4021,猪 养 猪 也 顺,养 猪 猪 兴 旺
627,R,3,养 猪 猪 兴 旺,ve31 ne 44 tsi33 ku” tyss,猪 黑 屋九 巷,养 九 猪 满 巷
627,R,4,系,dle4 tsh33 de21 tce33 4,鸡 觅食 七 坝 场,鸡 满 七 坝 场
628,L,1,万 田,kh33 21 du21 mi33 mp $O.s,阳 间 他 不 得,阳 间 未 得 者
628,L,2,万 日 与,"kh,33 1033 ni33 reP $OS",那 里 你 得 行,那 里 你 定 得
628,L,3,开 与 九,si33 33 ne1 tD33 IeP 3U,死 善 起 行 也,亡 魂 可 起 身
628,R,1,开 万 公会,kh133thD21 lu²1 ne21 tD33,鲁 神 它 莫 起,鲁 神莫 离去
628,R,2,去 开万雨召,kh33thD21 ne2i tD33,楠 神 它莫 起,楠 神 莫
628,R,3,张,dzi21 tsp? 33 thp21 14 tD33,畜 粮 魂 莫 起,畜 粮 魂 莫 罩
628,R,4,分 张,21 33 thD21 ZD mu 2i44 tD33,儿 女 魂莫 起,儿 女 魂 莫 离
629,L,1,2.00,si21 4021 di21 44 V21 pu,神脸 急 的 返,诸神返面 回
629,L,2,如么 日,tghg33 du33 1033 kD33,金 线 随 处 过,沿金线 回 返
629,L,3,日,4u33 tc”a” h33 du33 1033 9031,银 线 随 处 返,沿银线回返
629,R,1,田 3= 2,lur21 lur²1 44 31 li33 md ob,个 个 返 回 来,全都 ：返 回 来
632,L,1,,bu*4 dz121 x03,体 津,钵 本津
632,L,2,钵 本津,ku*s dzi²l tche31 1044 bur33,各资潜罗伯 格,格资潜罗伯②
632,L,3,Z卅,si5s 1033 tche31 1a31 mu 33,先处簸塌做,先前石欲崩
632,L,4,先前石欲崩,tche31 1044 kh133mD² lα31,簸石它不 塌,石动终没崩
632,R,1,霍,kurs dzi21 V133 ZD21,格资家儿大,格资之大 儿
632,R,2,Z W 3=,IeOyb si33 kh kua kua,年主 他管管,可 司管年轮
632,R,3,Z田 W,qh031 si33 kh33 mp²kua,年 主 他 不管,司管年轮 不
633,L,1,O Z万 W 3=,si33 kh133 kual 4D33 kua,月 主 他 管 管,可 司管 月 份
633,L,2,O Z 万 田 W,4D.33 si33 kh33 mp²1 kua,月 主 他 不 管,不 司 管 月 份
633,L,3,Z 每 去 司,si33 mu 33 d121 1303 9021,耕 主 做 的 在,可 司 管 稼
633,L,4,Z 九 田 每,si33 ne 33 21 qo21 mD mu33,耕 主 也 不 做,不 司 管 稼 稿
633,L,5,去 司,h33 ab ms 33 mu33 d121 1803,怎 样 做 的 在,他 要 干 什 么
633,R,1,# 口 7,si21 tsiss lu33 te33 mu33,桃 移 院 种 做,移 桃 栽 院 中
633,R,2,每 7 Z,si21 si33 Z.0Ss mu33 te33,我 做 桃 种 主,要 做 桃 者 种
633,R,3,π Z: 分,ku's dzi21 si33 ZD 21 4i44,格 资 别人 儿 次,格 资 N 次 儿
633,R,4,Z: 万每 3=,hp33 si33 kh33 mu mu33,雨 主 他 做 做,可 执 掌 播 雨
633,R,5,Z 万 田 W,"si33 kh,33 hD33 mD21 kua 31",雨 主 他 不 管,不 执 掌播 雨
634,L,1,Z万 W 3=,si33 kh3kua3kua,晒 主 他 管 管,可 执 掌 晴 晒
634,L,2,Z 每 万 田,si33 4yss kh33 mp,晒 主 他 不 做,不 执 掌 晴 晒
634,L,3,去 司,qD33 mu33 di21 tS03 su33,怎 样 做 的 在,他 想 干 什 么
634,L,4,包 住,niss ts044 si21 tsi33 bur33,土 铲 桃 棵 堆,铲 土 堆 桃 根
634,L,5,nI 包,"th21 ness niss ms 55 t$""o h44",早 土 三 铲,晨 铲 冏三 堆
634,R,1,面 卫,sms ness niss kw*s tsh044,三 早 土 九 铲,三 晨 九 堆 土
634,R,2,行 来 住,ts04 ID33 si21 tsi33,铲 了 桃 棵 堆,腐 冏土 堆 桃 根
634,R,3,万 每 去 司,"kh,33 zi33 mu33 di21 t$033",那 样 做 的 在,想 的 是 这
634,R,4,π Z 分 光,si33 55 kuuss dzi21 ZD na,格 资 别人 儿 小,格 资 N 幼 子
634,R,5,Z4 Z 每 去 司,si33 dze 44 mu33 tS033,寒 主 做 的 在,管 寒 可 司 阴
635,L,1,3 Z 每 去 目,si33 SD 33 mu33 dr21 t$033,晴 主 做 的 在,可 司 管 阳 暖
635,L,2,Z 每 去 司,si33 qo21 mu33 t$033,耕 主 做 的 在,可 司 管 耕 耘
635,L,3,Z 田 每,si33 q021 mp 21 mu 33,耕 主 我 不 做,不 司 管耕 耘
635,R,1,Z Z 每 去 司,si33 di21 duss mu33 1803,播 主 做 的 在,可 司 管 播 种
635,R,2,Z Z 每 田 与,si33 duss mu33 mp21 d131,播 主 做 不 行,不 司 管 种 播
635,R,3,WI,thi21 ness 2133 ms 55 ve31,一 早 水 三 挑,一 晨 三 担 水
635,R,4,张 WI 不,th21 ms 55 ve31 ness xu 21,三 挑 一 早 浇,早 挑 浇 三
636,L,1,面,z.i33 ms 33 ness ku*'s ve31,三 早 水 九 挑,三 晨 九 担 水
636,L,2,张 不 面,kuuss ve31 ms 33 ness mx,九 挑 三 早 浇,三 早 浇 九 挑
636,L,3,住 不,ve31 lD33 si21 tsi33 xu²1,挑 了 桃 棵 浇,挑 水 浇 桃 树
636,L,4,住 每,44 33 tsi33 ZO tsi33 ZO 44 mu,棵 长 棵 长 做,桃 树 长 得 快
636,L,5,住 子,tsi33 Z0 44 mu qo 33 le31,棵 长 天 中 攀,桃 树高 参 天
636,R,1,了 里,"4D21 exp te33 ne 44 p""u h33",叶 结 云 黑 朵,树 叶 繁 若 云
636,R,2,7世 面 O 飞 光,G133 sus 4D33 V33 nD,夏 三 月 N 中,夏 三 月 之 时
636,R,3,光 O Z 光,ts044 su' 4D33 V33 au 33,秋 三 月 N 中,秋 三 月 N 时
637,L,1,光 3 % 答,le33 mp leap tce4,果 结 黄 生 爽,果 黄爽 桃 树
637,L,2,面 O,tshi21thD2 ms 55 4D33 nD 33,冬 月 中 季 三,冬 三 月 之 时
637,L,3,田,qe 55 si21 mp 21 le31 Pe33,枝 手 果 不 掉,果 子 不 脱 蒂
637,L,4,X 码里3,tshi21 h21h21 4i33 tD mdmd,冬 风 起 呼 呼,冬 风 呼 呼 吹
637,R,1,去 公会 3=,33 4i33 44 ne tD33 ce Se4,春 风 起 习 习,春 风 习 习 刮
637,R,2,π 男 住,88 tshi33 dzi21 si21 tsi33,官 走 桃 棵 到,官 桃 树 走 近
637,R,3,半 男 住 年,88 x44 si21 tsi33 nD 21,将 走 桃 棵 歇,将 站 立 树 下
637,R,4,田,si21 qess dzi21 mp 21 no 33,桃 枝 官 不 攀,官 不 攀 树 枝
637,R,5,半 田,si21 4D21 muss mp 21 Se3,桃 叶 将 不 摘,将不 采 树 叶
638,L,1,田7,si21 kh33 mD33 mp21 dzD,桃 子 他 不 吃,他 们 不 吃 桃
638,L,2,平u 子 丑,si33 kho21 G133 ne21 nu33,阔 兴 诗 安 奴,阔 兴 诗 安 奴
638,L,3,半 田 7,dzi21 mu's si21 mp²1 dzp21,官 将 果 不 吃,官 将 不 吃 果
638,L,4,π 半 田,si21 dzi21 ssnu mp 21 no 55,官 将 果 不 要,官将 不 要 果
638,R,1,九万雨,kh33thD21 nu33 ne33,你 也 它莫 吃,你 亦 不 要 吃
638,R,2,平亚u 子 开,C133 ge21 kho21 nu33,阔 兴 诗 安 奴,阔 兴 奴 诗 安
638,R,3,男 住,nu u33 88 tsi33 tsh;33,你 走 桃 棵 到,你 至 桃 树 旁
638,R,4,田 正,si21 qess tch133thp21 no 31,桃 枝 它莫,莫 去 攀 桃 枝
638,R,5,飞飞雨,si21 tch33 33th21 4D2i S03,桃 叶 它莫 摘,莫去采桃 叶
639,L,1,本几正雨#,si21 mp33 tch133thp21 dzp21,它莫 桃 果 吃,莫 要 吃 桃 果
