序号,页码,撒尼语读音(我方记法),汉文释义,义项数
4464,179,dlɔJ buJ tʂʰɛiJ mɔ+,蚂蜂,1
4465,179,dlɔJ bɿJ,蜂分窝,1
4466,179,dlɔJ dɿJ,蜂螫(动词),1
4467,179,dlɔJ mɔ+,蜜蜂,1
4468,179,dlɔJ ne+ mɔJ mɔ+,大土蜂,1
4469,179,dlɔJ phÃJ,蜂盘,1
4470,179,dlɔJ pw+,蜂窝,1
4471,179,dlɔJ pw+ pɛi7 tu+,蜂窝盖,1
4472,179,dlɔJ tɛi+,收蜂,1
4473,179,dlɔJ ʑi7,蜂蜡,1
4474,179,dlɔJ ʑi7 tʂʰɛiJ mɔ+,草蜂,1
4475,179,dlɔJ ʑi7 zɔJ,黄蜂,1
4476,179,lɔJ ʑi+ lɔ+ dlɔJ,这茶很淡,1
4477,180,dlo+,踢,1
4478,180,dlo+ pw7,踢倒,1
4479,180,dlo+ tɛi+,踢中,1
4480,180,dlo+ xɔ+,踢开,1
4481,180,dloJ,①松(形容词) ②箭步,2
4482,180,dloJ loJ mw+,宽大,1
4483,180,dloJ mwJ dloJ ʑe+ ʑe+,宽敞；松,1
4484,180,dlu+,①荡 ②撞,2
4485,180,dlu+ dlu+ dlɛ+ dlɛ+,小孩学舌,1
4486,180,dluJ,搬；迁,1
4487,180,dluJ nɛi+,迁居,1
4488,180,dlɔJ he+ 1ɔ7,黄鼠狼,1
4489,180,dlɔJ ho+,养蜂,1
4490,180,dlɔJ ɿ+ mɔ+,蜂王,1
4491,180,dlɔJ ʑi+,蜂蜜,1
4492,180,dlɔJ ʑi+ kw+,酿蜜,1
4493,180,dlɿ+,踩,1
4494,180,dlɿ+ 1ÃJ,踩蹋,1
4495,180,dlɿ+ dA+,失足,1
4496,180,dlɿ+ phi+,踩平,1
4497,180,dlɿ+ tde+,踩扁,1
4498,181,dlu+,①装,1
4499,181,dlu+ dlɛ+,盛满,1
4500,181,dlu+ gw+,装完,1
4501,181,dlu+ loJ,装满,1
4502,181,dlu+ pu7,刀鞘,1
4503,181,dlu+ tɛi+,容纳,1
4504,181,dlu+ ʑoJ ʑoJ,垂直,1
4505,181,dluJ,①蜕 ②褪,2
4506,181,dluJ,挣脱,1
4507,181,dluJ xɔ+,褪色,1
4508,181,mu7 bw7 dluJ xɔ+,马挣脱了缰绳,1
4509,181,no7 ŋɿJ Vɿ+ dlu+,装,1
4510,181,nɛi+ mɔ+ dlu+ Sɔ+ Sɔ+,专心学习,1
4511,181,ʑi+ phɛiJ go+ dluJ,蛇蜕皮,1
4512,182,tʂi7,①喝 ②吸 ③吃,3
4513,182,tʂi7,①敢 ②移 ③不如；不及 ④浸,4
4514,182,tʂi7 ZɛiJ,喝醉,1
4515,182,tʂi7 bw+,喝足,1
4516,182,tʂi7 dzɿJ,漆,1
4517,182,tʂi7 gw+,喝完,1
4518,182,tʂi7 lɔ+ mɔJ tʂo+,唯独,1
4519,182,tʂi7 lɔ7,多余,1
4520,182,tʂi7 nA+,浸入,1
4521,182,tʂi7 thuJ,渗透,1
4522,182,tʂi7 tshɿ+,浸水,1
4523,182,tʂi7 tɛi+,移植；移栽,1
4524,182,tʂi7 xɔ+,喝掉,1
4525,182,tʂi7 xɔ+,移出去,1
4526,182,tʂi7 ʑi+,饮水(食用水),1
4527,182,tʂi7 ʑi+,露水,1
4528,182,tʂi7 ʑi+ du+ mɔ+ dlɔ+ nɛi+,白露(节令),1
4529,182,tʂi7 ʑi+ dʑe+ mɔ+ dlɔ+ nɛi+,寒露(节令),1
4530,182,tʂi7 ʑi+ khÃ+,银河,1
4531,182,tʂi7 ʑwJ,跟前；面前,1
4532,182,tʂi7 ʑwJ kw7,磕头；跪拜,1
4533,182,tʂi7 ʑɛi+,移动,1
4534,183,tʂi+,酒,1
4535,183,tʂi+,①相信 ②互,2
4536,183,tʂi+ Se7,蒸酒,1
4537,183,tʂi+ Si7,懂事,1
4538,183,tʂi+ Xɛi+,斟酒,1
4539,183,tʂi+ ZɔJ tʂi7,订婚酒,1
4540,183,tʂi+ ZɛiJ,酒醉,1
4541,183,tʂi+ ZɛiJ mɔ+,酒鬼,1
4542,183,tʂi+ ZɛiJ mɔ+ tʂi7,喝喜酒,1
4543,183,tʂi+ buJ,酒瘾,1
4544,183,tʂi+ buJ,酒坛,1
4545,183,tʂi+ bw+,米酒(甜白酒),1
4546,183,tʂi+ dliJ,楼楞,1
4547,183,tʂi+ du+,米酒(甜白酒),1
4548,183,tʂi+ kɔ+ pe+ 1eJ,同伴,1
4549,183,tʂi+ mɔ+,芝麻,1
4550,183,tʂi+ nɔ7,超支,1
4551,183,tʂi+ pɔ+,酒糟,1
4552,183,tʂi+ pɛi+,酒瓶,1
4553,183,tʂi+ tshu+,酿酒,1
4554,183,tʂi+ tʂi+,喝酒,1
4555,183,tʂi+ tʂi+,相互,1
4556,183,tʂi+ tʂi+ XɔJ dzɔJ pe+,酒肉朋友,1
4557,183,tʂi+ tʂi+ du+ mɛi+,接二连三；接踵而来,1
4558,183,tʂi+ tʂi+ gɔJ,相亲相爱,1
4559,183,tʂi+ tʂi+ kɔ+,互相(帮助),1
4560,183,tʂi+ tʂi+ kɔ+ tʂAJ,相好,1
4561,183,tʂi+ tʂi+ ʑo+ Xw7,互相埋怨,1
4562,183,tʂi+ tʂɛ+,酒醒；醉醒,1
4563,183,tʂi+ tʂʰɛi+,楼上,1
4564,183,tʂi+ tʂʰɛi+ de+,上楼,1
4565,183,tʂi+ tẽ7,敬酒,1
4566,183,tʂi+ ʑoJ,酒菜,1
4567,183,tʂi+ ʑɛi+,祭酒,1
4568,183,tʂi+ ʑɛi7 ʑoJ gɿ+,瓦缸,1
4569,184,tʂi+,牙,1
4570,184,tʂi+,皮,1
4571,184,tʂi+,东,1
4572,184,tʂi+ A7 geJ thɿJ ʑɛi+,上牙,1
4573,184,tʂi+ dluJ,脱皮,1
4574,184,tʂi+ dɔ+,皮灰,1
4575,184,tʂi+ dɔ+,东方,1
4576,184,tʂi+ dɔ+ bɔ+ thɔJ,黎明,1
4577,184,tʂi+ dɛiJ,换牙,1
4578,184,tʂi+ dɛiJ,剥皮,1
4579,184,tʂi+ ghÃJ,缺牙,1
4580,184,tʂi+ gɔJ,咬牙切齿,1
4581,184,tʂi+ gɛi+ mɔ+,粗牙,1
4582,184,tʂi+ mɔ+,牙齿,1
4583,184,tʂi+ mɔ+ buJ lɛi+ dzɔJ,蛀牙(动词),1
4584,184,tʂi+ mɔ+ nwJ,出牙,1
4585,184,tʂi+ mɔ+ nɔ+,牙痛,1
4586,184,tʂi+ mɔ+ tʂhiJ tu+,牙刷,1
4587,184,tʂi+ mɔ+ tʂɛi+,拔牙,1
4588,184,tʂi+ mɔ+ ʑÃ+,镶牙,1
4589,184,tʂi+ pw+ dʑoJ o7 thɿJ ʑɛi+,下牙,1
4590,184,tʂi+ pɛi+ mɔ+,暴牙,1
4591,184,tʂi+ thu+,厚皮,1
4592,184,tʂi+ tɛi+,日暮,1
4593,184,tʂi+ tɛi+ mɛi+,西边,1
4594,184,tʂi+ tʂe7,牛皮胶,1
4595,184,tʂi+ tʂhi+,牙根,1
4596,184,tʂi+ tʂo7,皱皮,1
4597,184,tʂiJ,①快 ②紧急 ③急躁,3
4598,184,tʂiJ tʂi+ tɔ+ gɔ+ tɛi+,急起直追,1
4599,184,tʂiJ tʂiJ mw+,快点,1
4600,184,tʂiJ tʂiJ ʑɛi+,快走,1
4601,185,tʂA7,①炸 ②帐 ③冻 ④丈 ⑤战 ⑥占,6
4602,185,tʂi+,①斤 ②称 ③秤,3
4603,185,tʂi+,胆,1
4604,185,tʂi+,驮,1
4605,185,tʂi+ 1o+ mɔ+,秤砣,1
4606,185,tʂi+ Kɛi+,秤钩,1
4607,185,tʂi+ Su7 lɔJ Su7,斤两,1
4608,185,tʂi+ Zɛi+,纸烟,1
4609,185,tʂi+ ghe+,能驮,1
4610,185,tʂi+ lo+,称足,1
4611,185,tʂi+ loJ,黄胆病,1
4612,185,tʂi+ mu7,驮马,1
4613,185,tʂi+ ne+ SɛiJ,秤星；秤花,1
4614,185,tʂi+ nɔ+,胆囊炎,1
4615,185,tʂi+ phɛi+ pu7 loJ,秤平斗满(公平),1
4616,185,tʂi+ phɛiJ,秤盘,1
4617,185,tʂi+ theJ tʂe+,秤毫,1
4618,185,tʂi+ tɔ+,起床；起来,1
4619,185,tʂi+ xɔ+,驮完,1
4620,185,tʂi+ ʑwJ tɔ+,秤杆,1
4621,185,tʂiJ,职,1
4622,185,tʂiJ 1iA7,质量,1
4623,185,tʂiJ Vu7,职务,1
4624,185,tʂiJ gɔ+ hɿJ mɔ+ mɛi+,急不暇择,1
4625,185,tʂiJ gɔ+ ʑɛi7 tʂAJ,又快又好,1
4626,185,ʑw+ tʂi+,熊胆,1
4627,186,tʂA+,沾,1
4628,186,tʂA+ gA7,雕章,1
4629,186,tʂA+ ʑɿJ,沾益(县名),1
4630,186,tʂA7 1A7,炸坏,1
4631,186,tʂA7 Si7,冻死,1
4632,186,tʂA7 So7,算帐,1
4633,186,tʂA7 dɛiJ,战争；战斗,1
4634,186,tʂA7 dɛiJ ghe+ mɔ+,英雄,1
4635,186,tʂA7 dɛiJ ʑɔ+,战场,1
4636,186,tʂA7 dɛiJ ʑɔJ nɔ7,停战,1
4637,186,tʂA7 dʑiJ,占领,1
4638,186,tʂA7 gheJ,①战争年代 ②还帐,2
4639,186,tʂA7 kwA7,记帐,1
4640,186,tʂA7 muJ,帐目,1
4641,186,tʂA7 mɛi+,煎熟,1
4642,186,tʂA7 tA7,炸弹,1
4643,186,tʂA7 tA7 nɔ+ tʂhiJ,炸药,1
4644,186,tʂA7 tɛi+,逼帐,1
4645,186,tʂA7 xɔ+,①炸毁 ②侵占,2
4646,186,tʂA7 ɿJ,清帐,1
4647,186,tʂA7 ʑoJ,欠帐,1
4648,186,tʂA7 ʑɛi+,炸死,1
4649,186,tʂA7 ʑɛi+,讨帐,1
4650,186,tʂA7 ʑɛiJ,炸药,1
4651,186,tʂAJ,①好 ②俊俏 ③妥 ④闸,4
4652,186,tʂAJ 1mw+ 1mw+ ʑe+,表示感谢,1
4653,186,tʂAJ mw+ tʂAJ mɔJ 1oJ,①得不偿失 ②好心办坏事,2
4654,186,tʂAJ mɔJ tʂAJ ʑe+,好端端的,1
4655,186,tʂAJ pe+,关闸,1
4656,186,tʂAJ tʂAJ dzw+,爱惜,1
4657,186,tʂAJ tʂAJ mw+,注意,1
4658,186,tʂAJ tʂAJ nɛi+ nɛi+,平安,1
4659,186,tʂAJ tʂhuJ mɔJ SA7,不知好歹,1
4660,186,tʂAJ ʑɔ+,优点；好处；益处；长处,1
4661,187,tʂAJ 17 SɛiJ,还好,1
4662,187,tʂAJ ghwJ,闸门,1
4663,187,tʂAJ ʑɔ+ be+,称赞；歌颂,1
4664,187,tʂAJ ʑɔ+ mw+,做好事,1
4665,187,tʂAJ ʑɔ+ mɔ+ xɔ+,忘恩负义,1
4666,187,tʂAJ ʑɔ+ nɛi+ mɔ+,忘本,1
4667,187,tʂAJ ʑɔ+ ʑɛi+,讨好,1
4668,187,tʂɔ+,①条 ②股 ③杆；只 ④把(量词) ⑤管,5
4669,187,tʂɔ7,喂,1
4670,187,tʂɔ7 bw+,喂饱,1
4671,187,tʂɔ7 bɔ+,照亮,1
4672,187,tʂɔ7 dʑiJ,按照；依照,1
4673,187,tʂɔ7 mɿ7,照射；照默,1
4674,187,tʂɔ7 pe+,罩起来,1
4675,187,tʂɔ7 pɛiJ,围墙,1
4676,187,tʂɔ7 tɛi+,照射着(光),1
4677,187,tʂɔ7 tʂAJ,喂得很好,1
4678,187,tʂɔ7 xɔ+,喂了,1
4679,188,tʂo+,①趟(量词) ②有 ③在,3
4680,188,tʂo7,①皱 ②急 ③纠缠,3
4681,188,tʂo7 KeJ,绉折,1
4682,188,tʂo7 tʂi7,着急；焦急；焦心,1
4683,188,tʂo7 tʂi7 tʂo7 tɛi+,非常焦急,1
4684,188,tʂo7 tʂo+,绉纹,1
4685,188,tʂo7 ʑɔ+,逼,1
4686,188,tʂɔ+ Xu+,①招呼 ②接待 ③留意,3
4687,188,tʂɔ+ mɔJ ŋo+,消失；不见,1
4688,188,tʂɔ+ nɛi7,头绪,1
4689,188,tʂɔ+ phiJ xɔ+,血管破裂,1
4690,188,tʂɔ+ tɛi+,找到,1
4691,188,tʂɔ+ tʂhi+,锅,1
4692,188,tʂɔ+ tʂhu+,找着,1
4693,188,tʂɔ+ tʂɛi+,罗嗦,1
4694,188,tʂɔ+ ŋo+,在(这儿),1
4695,188,tʂɔJ,①瞄 ②朝 ③扶,3
4696,188,tʂɔJ dʑiJ,扶稳,1
4697,188,tʂɔJ dʑɿ+ Vɛi+,赵(姓氏),1
4698,188,tʂɔJ mɿ7,瞄,1
4699,188,tʂɔJ tu+,瞄准,1
4700,188,tʂɔJ tʂi+ dɔ+ o7 xɔ+,向东,1
4701,189,tʂo+,①绕 ②转；旋转,2
4702,189,tʂo+ 1eJ tʂo+ Vɛi+,周围,1
4703,189,tʂo+ 1ɔ7,①在场 ②存在,2
4704,189,tʂo+ Sɔ+,舒服,1
4705,189,tʂo+ Zɛi+,中医,1
4706,189,tʂo+ Zɛi+,中枢,1
4707,189,tʂo+ dʑiJ gw+,团团转；旋转,1
4708,189,tʂo+ goJ,返回；折头；折转,1
4709,189,tʂo+ goJ 1ɛi+,①回头 ②返回,2
4710,189,tʂo+ mwJ tʂo+ mɛi+ mɔJ bo+,走头无路,1
4711,189,tʂo+ no7,有过；曾经,1
4712,189,tʂo+ nẽJ,中农,1
4713,189,tʂo+ tʂAJ,舒适,1
4714,189,tʂo+ ŋo+ tʂo+ 1o+ thuJ,享乐,1
4715,189,tʂo+ ŋo+ tʂoJ,①热闹 ②快乐；欢乐；畅快；痛快；愉快,2
4716,189,tʂo+ ʑuJ,中学,1
4717,189,tʂo+ ʑɔ7,苦闷；难受,1
4718,189,tʂo+ ʑɛi+ mɛiJ tʂhuJ ʑuJ ZɛiJ,中央民族学院,1
4719,189,tʂoJ,,0
4720,190,tʂoJ liAJ,酌量,1
4721,190,tʂoJ tʂiJ,着急,1
4722,190,tʂu+,朱,1
4723,190,tʂu+ ZA7,主要,1
4724,190,tʂu+ pɛiJ,主席,1
4725,190,tʂu+ teJ,朱德(人名),1
4726,190,tʂuJ,住,1
4727,190,tʂuJ,烛(腊烛的烛),1
4728,190,tʂuJ Zɛi7 dɛiJ,设法；拿主意,1
4729,190,tʂuJ ZɛiJ,①智慧 ②主意,2
4730,190,tʂw7,整,1
4731,190,tʂw7 fu+,政府,1
4732,190,tʂw7 mwJ tʂw7 xɔ7,正经,1
4733,190,tʂw7 mɛiJ,证明,1
4734,190,tʂɿ+,①奴隶 ②坚壁 ③藏,3
4735,190,tʂɿ+ 1ɔ7,藏着,1
4736,190,tʂɿ+ mw+,①当奴隶 ②侍候；服侍,2
4737,190,tʂɿ+ phu+,婢,1
4738,190,tʂɿ+ phɔJ pho+ mɔ+,奴仆,1
4739,190,tʂɿ7,箐,1
4740,190,tʂɿ7 tse7,正在,1
4741,190,tʂɿ7 tʂɿ7 1eJ 1eJ,①沟缝 ②巷道很多,2
4742,191,tʂui+,坠,1
4743,191,tʂui+ dɛiJ,准许,1
4744,191,tʂui+ dʑiJ,继续,1
4745,191,tʂui+ dʑwJ,及时,1
4746,191,tʂui+ xɔ+,可以了,1
4747,191,tʂuÃ+,砖,1
4748,191,tʂuÃ+ meJ,专门,1
4749,191,tʂuÃ+ tʂhi+,专区,1
4750,191,tʂw+,蒸,1
4751,191,tʂw+ tʂw+ kho+,逼真；真正,1
4752,191,tʂw+ tʂw+ tʂi+,真情；真的,1
4753,191,tʂw7 ZÃJ,镇压,1
4754,191,tʂw7 tsheJ,政策,1
4755,191,tʂw7 tʂi7,政治,1
4756,191,tʂw7 tʂi7,证据,1
4757,191,tʂw7 tʂʰeJ,正确,1
4758,192,tʂhi+,①甜 ②娶 ③窝(量词) ④解,4
4759,192,tʂhi+,麂子,1
4760,192,tʂhi+,枪,1
4761,192,tʂhi+ 1ɔJ mɔ+,麂子,1
4762,192,tʂhi+ bɿJ,解开,1
4763,192,tʂhi+ deJ,甜蜜,1
4764,192,tʂhi+ dwJ,解开；解放,1
4765,192,tʂhi+ khw+,鹿茸,1
4766,192,tʂhi+ mɔ+,母麂,1
4767,192,tʂhi+ nɛi+ mɔJ,羚羊,1
4768,192,tʂhi+ pɔ7,公麂,1
4769,192,tʂhi+ tʂhi+ nɛi+ nɛi+,甜美的食品,1
4770,192,tʂhi+ xɔ+,解开；拆开,1
4771,192,tʂhi+ ʑi+,甜水,1
4772,192,tʂhi+ ʑoJ ʑoJ,甜蜜蜜,1
4773,192,tʂhi+ ʑɔ+,取到,1
4774,192,tʂhi7,①忧愁 ②尺,2
4775,192,tʂhi7 du+,伤心事,1
4776,192,tʂhi7 gɔ+,分忧,1
4777,192,tʂhi7 nɛi+ tʂhi7 lwJ nɛi+ lwJ,悲喜交集,1
4778,192,tʂhi7 tsi+,尺子,1
4779,193,tʂhi+,①脚 ②到达,2
4780,193,tʂhi+ 1o+ gɿ7,弹壳,1
4781,193,tʂhi+ 1o+ tʂhi+ nɔ+ tʂɛiJ,军火,1
4782,193,tʂhi+ Vɛi+,持枪,1
4783,193,tʂhi+ ZɔJ,手枪,1
4784,193,tʂhi+ bA+,射击,1
4785,193,tʂhi+ bA+ 1eJ SɛiJ mɔ+,射击能手,1
4786,193,tʂhi+ bA+ ghe+ mɔ+,好枪法,1
4787,193,tʂhi+ be+,足；脚,1
4788,193,tʂhi+ be+ nɛiJ phi7 dlɛi+,脚踏两只船,1
4789,193,tʂhi+ be+ theJ,抬脚,1
4790,193,tʂhi+ bɛi+,枪托,1
4791,193,tʂhi+ bɛiJ,多趾,1
4792,193,tʂhi+ bɿJ 1eJ bɿJ,脚手开裂,1
4793,193,tʂhi+ dlwJ,枪走火,1
4794,193,tʂhi+ fu7,缩脚,1
4795,193,tʂhi+ fu7 1eJ fu7,缩脚缩手,1
4796,193,tʂhi+ ghwJ,枪口,1
4797,193,tʂhi+ khÃJ,扛枪,1
4798,193,tʂhi+ mɔ+ tʂhi+ ZɔJ buJ,跷脚,1
4799,193,tʂhi+ nɔ+ tʂhiJ,弹药,1
4800,193,tʂhi+ phɿJ 1eJ phɿJ,脚手浮肿,1
4801,193,tʂhi+ pw7 1eJ pw7,笨手笨脚,1
4802,193,tʂhi+ pɛi+,脚步,1
4803,193,tʂhi+ theJ,举枪,1
4804,193,tʂhi+ tho+,脚底,1
4805,193,tʂhi+ tw+,缩脚,1
4806,193,tʂhi+ tɔ+,动身；起身；启程,1
4807,193,tʂhi+ tɛi+ o7 mɔJ tɛi+,顾头顾不了尾,1
4808,193,tʂhi+ tɛi7 1eJ tɛi7,拦脚绊手,1
4809,193,tʂhi+ tʂhÃJ,擦枪,1
4810,193,tʂhi+ ŋɛi+,鸣枪,1
4811,193,tʂhi+ ʑwJ tɔ+,枪管,1
4812,194,tʂhi+ 1eJ SɛiJ,手脚灵活,1
4813,194,tʂhi+ 1eJ dʑiJ pheJ,四肢,1
4814,194,tʂhi+ 1eJ tʂAJ,有技巧,1
4815,194,tʂhi+ 1ɛi+,小脚,1
4816,194,tʂhi+ 1ɛi+,到来,1
4817,194,tʂhi+ SwJ,爪子；脚趾甲,1
4818,194,tʂhi+ Sɔ+ 1eJ 1o+,灵巧；流利,1
4819,194,tʂhi+ dlɔ+ pheJ,脚掌,1
4820,194,tʂhi+ du+,足迹；痕迹,1
4821,194,tʂhi+ du+ dlɛi+,步后尘,1
4822,194,tʂhi+ du+ dlɛi+ lɔ7,重蹈覆辙,1
4823,194,tʂhi+ du+ tʂɔ+,跟踪,1
4824,194,tʂhi+ duJ,袜子,1
4825,194,tʂhi+ dw+,拖累,1
4826,194,tʂhi+ dzɿJ mɔ+,赤脚,1
4827,194,tʂhi+ dɿ7 phiJ,脚掌,1
4828,194,tʂhi+ lɔ7,到了,1
4829,194,tʂhi+ no7,到过,1
4830,194,tʂhi+ no7 1eJ no7,四肢无力,1
4831,194,tʂhi+ nɔJ,落脚,1
4832,194,tʂhi+ nɛi+,鞋子,1
4833,194,tʂhi+ nɛi+ ZA7 tɛi+,鞋样,1
4834,194,tʂhi+ nɛi+ dɛiJ,穿鞋(自动),1
4835,194,tʂhi+ nɛi+ ghwJ,鞋口,1
4836,194,tʂhi+ nɛi+ nÃJ,纳鞋底,1
4837,194,tʂhi+ nɛi+ nÃJ tʂho+,鞋匠,1
4838,194,tʂhi+ nɛi+ pw+ tʂho+,补鞋匠,1
4839,194,tʂhi+ nɛi+ tho+,鞋底,1
4840,194,tʂhi+ nɛi+ tɿ7,穿鞋(使动),1
4841,194,tʂhi+ tho+ 1eJ dʑe+ mɔ+,非常熟悉的地方,1
4842,194,tʂhi+ tɛiɔ+,跛足,1
4843,194,tʂhi+ tɛiɔ+ mɔ+,跛子,1
4844,195,nɛi+ tʂhiJ dzɔJ xɔ+ xɔ+,你吃过早饭了吗？(古语),1
4845,195,tʂhi+ ZɛiJ,①累赘 ②大脚,2
4846,195,tʂhi+ bu+ tʂhiJ bɛi+,走狗；狗腿子,1
4847,195,tʂhi+ tʂi+,脚趾,1
4848,195,tʂhi+ tʂɔ+ tʂi7,扎根,1
4849,195,tʂhi+ tʂɿ7,脚丫巴,1
4850,195,tʂhi+ tʂʰɛi+,爪牙,1
4851,195,tʂhi+ tʂʰɛi+,脚背,1
4852,195,tʂhiJ,狗,1
4853,195,tʂhiJ,早饭(古语),1
4854,195,tʂhiJ,,0
4855,195,tʂhiJ 1ɛi+,犬吠,1
4856,195,tʂhiJ Si7 VeJ nɛiJ dɛiJ,獾,1
4857,195,tʂhiJ VuJ,疯狗,1
4858,195,tʂhiJ VɛiJ ZɔJ,小母狗,1
4859,195,tʂhiJ bo+,轿子,1
4860,195,tʂhiJ bo+ theJ,抬轿,1
4861,195,tʂhiJ bo+ theJ tʂho+,轿夫,1
4862,195,tʂhiJ bɛi+,差役,1
4863,195,tʂhiJ dzɔJ,吃早饭(古语),1
4864,195,tʂhiJ dɔ+,狗月(农历九月),1
4865,195,tʂhiJ gA7,骗狗(动词),1
4866,195,tʂhiJ gA7 xɔ+ mɔ+,骗狗(名词),1
4867,195,tʂhiJ ghoJ,戊(属狗年),1
4868,195,tʂhiJ go7 mɔ+,野狗,1
4869,195,tʂhiJ mwJ tʂhiJ dɔ+,谣言,1
4870,195,tʂhiJ mwJ tʂhiJ dɔ+ ʑɛi+,造谣,1
4871,195,tʂhiJ mɔ+,母狗,1
4872,195,tʂhiJ pɔ7,公狗,1
4873,195,tʂhiJ to7 mɔ+,蓖麻,1
4874,195,tʂhiJ tsi7 mɔ+,蓖麻,1
4875,195,tʂhiJ tʂi+,①门牙 ②狗牙齿,2
4876,195,tʂhiJ tʂi+,狗皮,1
4877,195,tʂhiJ tʂɛ+,母狗发情,1
4878,195,tʂhiJ ʑw+,狗熊,1
4879,195,tʂhiJ ʑɛi+ mɔ+,跳蚤,1
4880,196,tʂhiJ,①织(布) ②借,2
4881,196,tʂhiJ,①粪 ②朽、腐烂,2
4882,196,tʂhiJ Si7 duJ,厕所,1
4883,196,tʂhiJ bwJ tʂɛi+ bwJ nw+,又酸又臭,1
4884,196,tʂhiJ bɿ+,粪堆,1
4885,196,tʂhiJ duJ,屁股,1
4886,196,tʂhiJ duJ 1eJ tʂe+,大钉耙,1
4887,196,tʂhiJ gw+,①织完 ②借完,2
4888,196,tʂhiJ gw+ tʂhiJ ne+ tʂhi+,借完借尽,1
4889,196,tʂhiJ kw+ bɿ+,堆粪,1
4890,196,tʂhiJ kw+ tÃJ,积肥,1
4891,196,tʂhiJ kɔ+,上粪；施肥,1
4892,196,tʂhiJ nɛi7,肥料；粪土；粪便,1
4893,196,tʂhiJ nɛi7 1eJ tʂe+,小钉耙,1
4894,196,tʂhiJ nɛi7 Xw+,沤肥,1
4895,196,tʂhiJ nɛi7 ʑoJ,肥效,1
4896,196,tʂhiJ phɛi+ ne+ ghoJ ʑÃJ,灰尘满面,1
4897,196,tʂhiJ pu7 duJ,粪坑；粪塘,1
4898,196,tʂhiJ pɿ7,粪,1
4899,196,tʂhiJ tse7,追肥,1
4900,196,tʂhiJ ŋɔ7,借支；借用,1
4901,196,tʂhiJ ʑi+ XwJ,浇粪,1
4902,196,tʂhiJ ʑi+ mɔ+,大粪,1
4903,197,tʂhA+,①篱笆 ②一下,2
4904,197,tʂhA+ 1iAJ,严重,1
4905,197,tʂhA+ dA+,菜刀,1
4906,197,tʂhA+ dɔJ,篱笆,1
4907,197,tʂhA+ gɔ+,栅门,1
4908,197,tʂhA+ nɛi7,外面,1
4909,197,tʂhA+ tʂhA+,偶然,1
4910,197,tʂhA+ ʑeJ,编篱笆,1
4911,197,tʂhA7,抄,1
4912,197,tʂhA7 gwJ,①岔入 ②插入,2
4913,197,tʂhA7 ʑe7,交叉,1
4914,197,tʂhAJ,铲,1
4915,197,tʂhAJ lÃJ tsi+ Vɛi+,葵花,1
4916,197,tʂhAJ lÃJ tsi+ mɔ+,葵花子,1
4917,197,tʂhAJ pɛi+,复查,1
4918,197,tʂhAJ tɔ+ 1ɛi+,铲起来,1
4919,197,tʂhAJ tʂɿ7,长征,1
4920,197,tʂhAJ ʑẽ+,朝鲜,1
4921,197,tʂhiJ,持(支持的持),1
4922,197,tʂhɔ+,①块 ②开裂,2
4923,197,tʂhẽJ,,0
4924,197,tʂhẽJ tʂo+,有陈见,1
4925,197,tʂhẽJ tʂɛiJ,成绩,1
4926,197,tʂhẽJ ʑɛi+,撤走,1
4927,198,tʂho7,低,1
4928,198,tʂho7 pe+,开玩笑,1
4929,198,tʂho7 tshɿ+,掉下来,1
4930,198,tʂhoJ,①竖 ②伴儿 ③扶 ④缠 ⑤快(古语),5
4931,198,tʂhɔ+ Vɛi+ tɔ7,暂存,1
4932,198,tʂhɔ+ ZɔJ,瞬间,1
4933,198,tʂhɔ+ Zɛi+,笑笑,1
4934,198,tʂhɔ+ bɛiJ,破裂,1
4935,198,tʂhɔ+ du+,裂痕,1
4936,198,tʂhɔ+ mɔJ ʑi7,不成器,1
4937,198,tʂhɔ+ ne+,看看；察看,1
4938,198,tʂhɔ+ te7,捎带,1
4939,198,tʂhɔ+ tʂhɔ+,有时；偶尔,1
4940,198,tʂhɔ+ xɔ+,裂了,1
4941,198,tʂhɔ+ ŋɔ7,暂借,1
4942,198,tʂhɔ+ ʑi7,①成器 ②懂事 ③尝试,3
4943,198,tʂhɔJ,车,1
4944,198,tʂhɔJ Si+,拉车,1
4945,198,tʂhɔJ dɛi+,通车,1
4946,198,tʂhɔJ hɿJ,暂时停车,1
4947,198,tʂhɔJ hɿJ duJ,车站,1
4948,198,tʂhɔJ khɛi+,开车,1
4949,198,tʂhɔJ khɛi+ tʂho+,驾驶员,1
4950,198,tʂhɔJ nɛi+,乘车；搭车,1
4951,198,tʂhɔJ pheJ,车轮；轮子,1
4952,198,tʂhɔJ phuJ,车费,1
4953,198,tʂhɔJ piA7,车票,1
4954,198,tʂhɔJ pɛi+,翻车,1
4955,198,tʂhɔJ ʑoJ nɔ7,停车,1
4956,198,tʂhɔJ ʑoJ nɔ7 duJ,停车场,1
4957,198,tʂhɔJ ʑɛi+,雇车,1
4958,199,tʂho+,①秋 ②吹,2
4959,199,tʂho+,①锄 ②削,2
4960,199,tʂho+ SiJ Sɛi+,橘子树,1
4961,199,tʂho+ SiJ gɿ7,橘皮,1
4962,199,tʂho+ SiJ mɔ+,橘子,1
4963,199,tʂho+ fɛi+,秋分(节令),1
4964,199,tʂho+ ho+ thÃJ mwJ,秋天的气候；秋雨,1
4965,199,tʂho+ tho+,下面；底下,1
